Location,Latitude,Longitude
183 km al S de Base Frei,-63.844,-59.006
117 km al E de Base Frei,-61.554,-57.199
130 km al O de Base Frei,-62.293,-61.48
31 km al E de Base Frei,-62.186,-58.38
12 km al E de Base Frei,-62.148,-58.755
23 km al E de Base Frei,-62.089,-58.597
25 km al E de Base Frei,-62.29,-58.545
27 km al E de Base Frei,-62.249,-58.47
652 km al E de Base Frei,-60.476,-47.264
672 km al E de Base Frei,-60.538,-46.82
26 km al E de Base Frei,-62.167,-58.484
39 km al E de Base Frei,-62.178,-58.231
78 km al NO de Base Frei,-61.67,-59.97
48 km al NE de Base Frei,-61.851,-58.423
31 km al E de Base Frei,-62.191,-58.371
60 km al E de Base Frei,-62.373,-57.879
32 km al E de Base Frei,-62.301,-58.39
80 km al E de Base Frei,-62.16,-57.443
167 km al SO de Base Frei,-63.424,-60.854
34 km al E de Base Frei,-62.194,-58.314
28 km al E de Base Frei,-62.267,-58.445
24 km al E de Base Frei,-62.122,-58.538
36 km al E de Base Frei,-62.311,-58.327
36 km al E de Base Frei,-62.309,-58.329
33 km al E de Base Frei,-62.222,-58.347
35 km al E de Base Frei,-62.307,-58.34
35 km al E de Base Frei,-62.306,-58.349
29 km al E de Base Frei,-62.156,-58.417
35 km al E de Base Frei,-62.306,-58.331
36 km al E de Base Frei,-62.242,-58.291
35 km al E de Base Frei,-62.265,-58.315
39 km al E de Base Frei,-62.185,-58.222
35 km al E de Base Frei,-62.313,-58.347
35 km al E de Base Frei,-62.312,-58.345
34 km al E de Base Frei,-62.312,-58.363
35 km al E de Base Frei,-62.292,-58.323
35 km al E de Base Frei,-62.31,-58.348
35 km al E de Base Frei,-62.269,-58.325
35 km al E de Base Frei,-62.269,-58.31
40 km al E de Base Frei,-62.318,-58.243
33 km al E de Base Frei,-62.273,-58.352
36 km al E de Base Frei,-62.297,-58.314
33 km al E de Base Frei,-62.188,-58.343
34 km al E de Base Frei,-62.16,-58.324
35 km al E de Base Frei,-62.249,-58.315
33 km al E de Base Frei,-62.226,-58.339
28 km al E de Base Frei,-62.215,-58.442
21 km al O de Base Frei,-62.086,-59.311
36 km al E de Base Frei,-62.128,-58.287
37 km al E de Base Frei,-62.109,-58.293
40 km al E de Base Frei,-62.233,-58.208
34 km al E de Base Frei,-62.223,-58.319
39 km al E de Base Frei,-62.098,-58.25
39 km al E de Base Frei,-62.191,-58.22
38 km al E de Base Frei,-62.182,-58.241
36 km al E de Base Frei,-62.327,-58.342
35 km al E de Base Frei,-62.319,-58.356
34 km al E de Base Frei,-62.14,-58.336
39 km al E de Base Frei,-62.276,-58.249
39 km al E de Base Frei,-62.209,-58.216
38 km al E de Base Frei,-62.266,-58.264
39 km al E de Base Frei,-62.192,-58.216
38 km al E de Base Frei,-62.324,-58.295
38 km al E de Base Frei,-62.16,-58.245
36 km al E de Base Frei,-62.32,-58.336
39 km al E de Base Frei,-62.425,-58.413
218 km al E de Base Frei,-61.585,-55.028
44 km al E de Base Frei,-62.43,-58.283
33 km al SE de Base Frei,-62.398,-58.517
29 km al E de Base Frei,-62.321,-58.478
29 km al E de Base Frei,-62.28,-58.446
38 km al E de Base Frei,-62.3,-58.27
37 km al E de Base Frei,-62.078,-58.31
29 km al E de Base Frei,-62.236,-58.414
12 km al S de Base Frei,-62.301,-58.964
39 km al E de Base Frei,-62.246,-58.221
35 km al E de Base Frei,-62.271,-58.311
34 km al E de Base Frei,-62.281,-58.348
34 km al E de Base Frei,-62.273,-58.333
29 km al E de Base Frei,-62.252,-58.421
36 km al E de Base Frei,-62.217,-58.286
36 km al E de Base Frei,-62.288,-58.308
34 km al E de Base Frei,-62.261,-58.332
35 km al E de Base Frei,-62.275,-58.327
29 km al E de Base Frei,-62.255,-58.433
30 km al E de Base Frei,-62.318,-58.448
33 km al E de Base Frei,-62.259,-58.351
38 km al E de Base Frei,-62.27,-58.26
35 km al E de Base Frei,-62.176,-58.301
31 km al E de Base Frei,-62.264,-58.394
28 km al E de Base Frei,-62.261,-58.447
35 km al E de Base Frei,-62.266,-58.32
34 km al E de Base Frei,-62.343,-58.391
30 km al E de Base Frei,-62.25,-58.407
30 km al E de Base Frei,-62.309,-58.453
30 km al E de Base Frei,-62.248,-58.4
31 km al E de Base Frei,-62.247,-58.379
29 km al E de Base Frei,-62.27,-58.441
31 km al E de Base Frei,-62.237,-58.378
32 km al E de Base Frei,-62.273,-58.384
29 km al E de Base Frei,-62.207,-58.407
31 km al E de Base Frei,-62.222,-58.375
31 km al E de Base Frei,-62.286,-58.413
33 km al E de Base Frei,-62.208,-58.342
32 km al E de Base Frei,-62.23,-58.357
32 km al E de Base Frei,-62.177,-58.36
28 km al E de Base Frei,-62.247,-58.454
22 km al E de Base Frei,-62.171,-58.55
9 km al E de Base Frei,-62.224,-58.81
27 km al E de Base Frei,-62.198,-58.461
27 km al E de Base Frei,-62.22,-58.456
30 km al E de Base Frei,-62.217,-58.4
28 km al E de Base Frei,-62.215,-58.428
28 km al E de Base Frei,-62.229,-58.433
30 km al E de Base Frei,-62.226,-58.391
29 km al E de Base Frei,-62.158,-58.422
31 km al E de Base Frei,-62.128,-58.394
